Anneal Name,Sample Type,Start Date,Start Time,End Date,End Time,Annealing Duration (Days),Temperature (C),Covered in Powder?,Pressure Condition,Resulting Tc (k),Tc Width (K),MPMS considered,Total Number of Crystals,Mass (g),Mass after anneal,Notes,
2023_4,Hg1201,4/21/23,6:35 PM,5/22/23,10:20 AM,30.66,300,No,High Pressure O2,,,,6,,,For Contactless Probe,
2023_3,Hg1201,4/3/23,6:06 PM,5/4/23,2:00 PM,30.83,380,No,N2 Flow,,,,23,2.1,,Aiming for UD71,
2023_2,Hg1201,3/16/23,4:28 PM,4/14/23,11:40 AM,28.80,400,No,N2 Flow,,,,20,2.5351,,Aiming for UD72,
2023_1,Hg1201,1/1/23,5:14 PM,2/7/23,3:25 PM,36.92,490,Yes,Vacuum,,,,22,1.4,,,
2022_10,Hg1201,12/17/22,2:00 PM,1/18/23,5:08 PM,32.13,600,Yes,Vacuum,,,,10,,,Broke in chucks and powder,
2022_9,Hg1201,12/2/22,5:47 PM,1/10/23,1:58 PM,38.84,600,Yes,Vacuum,,,,14,,,,
2022_8,Hg1201,10/17/22,5:16 PM,10/17/22,7:16 PM,0.08,400,No,N2 Flow,,,,1,,,Plastically deformed sample,
2022_7,Hg1201,9/27/22,3:25 PM,10/28/22,4:29 PM,31.04,500,Yes,Vacuum,,,,11,,,,
2022_6,Hg1201,9/12/22,4:45 PM,10/28/22,4:20 PM,45.98,450,No,N2 Flow,,,,10,,,,
2022_5,Hg1201,9/12/22,6:48 PM,10/28/22,4:20 PM,45.90,400,No,N2 Flow,,,,10,,,,
2022_4,Hg1201,8/24/22,1:18 PM,9/22/22,2:47 PM,29.06,700,Yes,Vacuum,,,,12,,,"Material in boat was off white in vacuum, but turned black upon exposure to air. made big porus chucks. Smoke genrated",
2022_3,Hg1201,6/29/22,5:21 PM,7/27/22,11:16 AM,27.75,500,Yes,Vacuum,,,,,,,Same crystals as 2022_2,
2022_2,Hg1201,4/29/22,4:33 PM,6/2/22,11:14 AM,33.78,400,Yes,Vacuum,,,,,4.6120,,Same crystals as 2022_1 except without 2022_1_1,
2022_1,Hg1201,2/22/22,5:31 PM,3/28/22,3:50 PM,33.93,400,Yes,Vacuum,,,,,4.857,,,
2021_7,Hg1201,12/14/21,2:58 PM,1/18/22,10:05 AM,34.80,400,Yes,Vacuum,,,,7,,,,
2021_6,Hg1201,8/19/21,3:31 PM,9/27/21,2:00 PM,38.94,450,No,N2 Flow,,,,23,,,,
2021_5,Hg1201,8/19/21,3:15 PM,10/5/21,3:13 PM,47.00,300,No,High Pressure O2,,,,16,,,,
2021_4,Hg1201,7/12/21,4:24 PM,8/12/21,12:00 PM,30.82,300,No,High Pressure O2,,,,13,,,Exploded,
2021_3,Hg1201,3/3/21,6:25 PM,4/7/21,3:07 PM,34.86,300,No,High Pressure O2,,,,9,,,,
2021_2,Hg1201,2/23/21,5:31 PM,4/9/21,6:18 PM,45.03,450,No,N2 Flow,,,,,0.455,,,
2021_1,Hg1201,2/1/21,4:04 PM,3/15/21,9:35 AM,41.73,400,No,N2 Flow,,,,12,1.368,,,
2020_13,Hg1201,10/16/20,5:21 PM,11/28/20,5:33 PM,43.01,300,No,High Pressure O2,,,,,,,,
2020_12,Hg1201,7/30/20,9:48 AM,8/6/20,10:32 AM,7.03,475,No,High Pressure Hg,,,,5,0.0235,,Samples from 2019_36,
2020_11,Hg1201,7/30/20,8:23 AM,8/26/20,2:30 PM,27.25,350,No,Air,,,,6,,,,
2020_10,Hg1201,7/14/20,2:18 PM,7/21/20,2:43 PM,7.02,450,No,High Pressure Hg,,,,1,0.0057,,,
2020_9,Hg1201,7/7/20,2:06 PM,7/14/20,1:55 PM,6.99,450,No,High Pressure Hg,,,,1,0.0081,,,
2020_8,Hg1201,n/a,n/a,n/a,n/a,,350,No,Air,,,,,,,,
2020_7,Hg1201,3/2/20,5:20 PM,n/a,n/a,,425,No,N2 Flow,,,,,,,,
2020_6,Hg1201,3/2/20,5:20 PM,n/a,n/a,,475,No,N2 Flow,,,,,,,,
2020_5,Hg1201,2/27/20,6:12 PM,3/6/20,4:10 PM,7.92,450,No,High Pressure Hg,,,,1,0.026.4,,,
2020_4,Hg1201,1/30/20,12:01 PM,2/6/20,5:08 PM,7.21,450,No,High Pressure Hg,,,,1,,,Sample from 2019_28_37,
2020_3,Hg1201,1/17/20,12:47 PM,1/24/20,4:12 PM,7.14,450,No,High Pressure Hg,,,,1,,,Sample is 2019_28_24,
2020_2,Hg1201,1/10/20,12:25 PM,1/17/20,12:23 PM,7.00,450,No,High Pressure Hg,,,,1,,,Sample is 2019_28_2,
2020_1,Hg1201,1/3/20,11:52 AM,1/10/20,12:10 PM,7.01,450,No,High Pressure Hg,,,,1,,,Sample is 2019_28_39,
2019_34,Hg1201,11/18/19,2:30 PM,11/25/19,2:55 PM,7.02,400,Yes,Vacuum,,,,,1.41,,Samples from 2019_32 were inserted into hot furnace.,
2019_33,Hg1201,11/14/19,5:15 PM,11/25/19,2:25 PM,10.88,375,No,Air,,,,34,,,,
2019_32,Hg1201,10/16/19,4:39 PM,11/13/19,4:30 PM,27.99,360,No,Vacuum,,,,,2.62,,,
2019_31,Hg1201,10/16/19,5:39 PM,11/13/19,4:35 PM,27.96,380,Yes,Vacuum,,,,4,,,,
2019_30,Hg1201,10/11/19,5:30 PM,11/8/19,2:30 PM,27.88,350,No,N2 Flow,,,,4,,,,
2019_29,Hg1201,8/13/19,1:48 PM,10/1/19,2:54 PM,49.05,450,No,High Pressure Hg,,,,11,,,,
2019_28,Hg1201,7/31/19,4:46 PM,8/30/19,10:30 AM,29.74,450,No,Vacuum,,,,,1.88,,Hot Furnace,
2019_27,Hg1201,7/12/19,4:43 PM,7/31/19,1:18 PM,18.86,375,No,Air,,,,2,,,,
2019_26,Hg1201,7/11/19,3:35 PM,8/7/19,4:00 PM,27.02,400,No,N2 Flow,,,,9,,,,
2019_25,Hg1201,7/11/19,3:35 PM,8/7/19,3:50 PM,27.01,450,No,N2 Flow,,,,22,,,,
2019_24,Hg1201,7/3/19,4:56 PM,8/8/19,9:45 AM,35.70,300,No,High Pressure O2,,,,15,,,,
2019_23,Hg1201,7/3/19,12:05 PM,7/31/19,3:20 PM,28.14,400,No,Vacuum,,,,9,,,Hot furnace,
2019_22,Hg1212,6/14/19,1:50 PM,6/28/19,n/a,,450,No,Vacuum,,,,,,,Continuation of 2019_21,
2019_21,Hg1212,5/21/19,3:45 PM,6/19/19,3:30 PM,28.99,450,No,Vacuum,,,,,,,,
2019_20,Hg1212,5/17/19,,6/24/23,11:00 AM,,400,No,N2 Flow,,,,,,,"Samples from DLT 37, 38",
2019_19,Hg1212,5/15/19,,,,,400,No,High Pressure O2,,,,,,,"Samples from DLT 35, 38",
2019_18,Hg1201,5/10/19,2:55 PM,6/7/19,2:15 PM,27.97,450,No,Vacuum,,,,,0.0563,,Hot furnace,
2019_17,Hg1201,5/10/19,2:50 PM,6/7/19,2:10 PM,27.97,450,No,Vacuum,,,,,0.0441,,,
